Gmt time,Open,High,Low,Close,Volume
26.07.2023 12:00:00.000,1.10627,1.10706,1.10573,1.10682,17855.1406
26.07.2023 13:00:00.000,1.10681,1.10732,1.10576,1.10651,22918.0391
26.07.2023 14:00:00.000,1.10651,1.10714,1.10576,1.10635,28684.4805
26.07.2023 15:00:00.000,1.10635,1.10796,1.10617,1.10767,15859.0996
26.07.2023 16:00:00.000,1.10767,1.10822,1.10681,1.10718,9798.4004
26.07.2023 17:00:00.000,1.10717,1.10717,1.10576,1.10576,9627.1104
26.07.2023 18:00:00.000,1.10577,1.11047,1.10564,1.11035,65629.2188
26.07.2023 19:00:00.000,1.11038,1.11066,1.10784,1.10963,33255.5898
26.07.2023 20:00:00.000,1.10963,1.10965,1.10848,1.10854,3979.75
26.07.2023 21:00:00.000,1.10853,1.10884,1.10831,1.10869,1889.9399
26.07.2023 22:00:00.000,1.10866,1.10895,1.10844,1.10848,2601.1001
26.07.2023 23:00:00.000,1.10847,1.10848,1.10778,1.10779,3935.3899
27.07.2023 00:00:00.000,1.10778,1.10873,1.10774,1.10865,8028.3701
27.07.2023 01:00:00.000,1.10865,1.11002,1.10864,1.10989,12309.2402
27.07.2023 02:00:00.000,1.10990,1.11178,1.10990,1.10992,15168.3701
27.07.2023 03:00:00.000,1.10992,1.11062,1.10985,1.11002,8139.7998
27.07.2023 04:00:00.000,1.11002,1.11077,1.10959,1.10960,8465.5195
27.07.2023 05:00:00.000,1.10959,1.10994,1.10879,1.10888,12285.5996
27.07.2023 06:00:00.000,1.10888,1.11002,1.10888,1.10999,15236.5898
27.07.2023 07:00:00.000,1.10999,1.11340,1.10983,1.11284,29658.7207
27.07.2023 08:00:00.000,1.11284,1.11392,1.11243,1.11389,16915.0605
27.07.2023 09:00:00.000,1.11390,1.11439,1.11267,1.11394,15285.7803
27.07.2023 10:00:00.000,1.11395,1.11496,1.11362,1.11372,15416.0303
27.07.2023 11:00:00.000,1.11373,1.11411,1.11312,1.11385,14623.6602
27.07.2023 12:00:00.000,1.11384,1.11389,1.10476,1.10590,60557.5781
27.07.2023 13:00:00.000,1.10591,1.10652,1.09914,1.10080,70708.7734
27.07.2023 14:00:00.000,1.10079,1.10105,1.09839,1.09918,50882.3281
27.07.2023 15:00:00.000,1.09918,1.10032,1.09874,1.09969,23830.6406
27.07.2023 16:00:00.000,1.09970,1.10010,1.09860,1.09900,14222.4404
27.07.2023 17:00:00.000,1.09902,1.10105,1.09867,1.09987,35511.2891
27.07.2023 18:00:00.000,1.09986,1.09988,1.09717,1.09732,22166.6895
27.07.2023 19:00:00.000,1.09732,1.09741,1.09658,1.09669,15210.5801
27.07.2023 20:00:00.000,1.09669,1.09769,1.09662,1.09749,3340.8401
27.07.2023 21:00:00.000,1.09748,1.09778,1.09741,1.09764,750.94
27.07.2023 22:00:00.000,1.09763,1.09835,1.09763,1.09827,3509.0901
27.07.2023 23:00:00.000,1.09828,1.09831,1.09760,1.09781,6847.8501
28.07.2023 00:00:00.000,1.09780,1.09825,1.09774,1.09801,10706.79
28.07.2023 01:00:00.000,1.09802,1.09860,1.09736,1.09821,14040.04
28.07.2023 02:00:00.000,1.09821,1.09858,1.09775,1.09827,10670.4404
28.07.2023 03:00:00.000,1.09828,1.09882,1.09714,1.09765,29581.9902
28.07.2023 04:00:00.000,1.09766,1.09786,1.09597,1.09727,26672.8496
28.07.2023 05:00:00.000,1.09728,1.09863,1.09485,1.09860,25952.3203
28.07.2023 06:00:00.000,1.09860,1.09911,1.09683,1.09709,31493.9395
28.07.2023 07:00:00.000,1.09713,1.09874,1.09435,1.09515,39977.9492
28.07.2023 08:00:00.000,1.09518,1.09686,1.09477,1.09595,24653.6406
28.07.2023 09:00:00.000,1.09595,1.09771,1.09564,1.09734,15711.3096
28.07.2023 10:00:00.000,1.09734,1.09965,1.09704,1.09935,13605.1104
28.07.2023 11:00:00.000,1.09935,1.10181,1.09919,1.10092,17327.6309
28.07.2023 12:00:00.000,1.10091,1.10333,1.10032,1.10092,36881.0586
28.07.2023 13:00:00.000,1.10092,1.10173,1.09931,1.10171,35664.7383
28.07.2023 14:00:00.000,1.10172,1.10475,1.10170,1.10356,33130.2891
28.07.2023 15:00:00.000,1.10356,1.10400,1.10220,1.10383,16051.8203
28.07.2023 16:00:00.000,1.10382,1.10430,1.10249,1.10254,14328.4902
28.07.2023 17:00:00.000,1.10252,1.10291,1.10151,1.10211,10470.8203
28.07.2023 18:00:00.000,1.10210,1.10297,1.10159,1.10233,11787.4902
28.07.2023 19:00:00.000,1.10232,1.10266,1.10191,1.10230,5181.48
28.07.2023 20:00:00.000,1.10229,1.10235,1.10123,1.10125,6301.8701
28.07.2023 21:00:00.000,1.10125,1.10125,1.10125,1.10125,0
28.07.2023 22:00:00.000,1.10125,1.10125,1.10125,1.10125,0
28.07.2023 23:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 00:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 01:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 02:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 03:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 04:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 05:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 06:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 07:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 08:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 09:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 10:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 11:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 12:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 13:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 14:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 15:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 16:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 17:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 18:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 19:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 20:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 21:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 22:00:00.000,1.10125,1.10125,1.10125,1.10125,0
29.07.2023 23:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 00:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 01:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 02:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 03:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 04:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 05:00:00.000,1.10125,1.10125,1.10125,1.10125,0
30.07.2023 06:00:00.000,1.10125,1.10125,1.10125,1.10125,0
